"view_name";"column_order";"column_name";"data_type";"is_nullable"
"vw_cadastros_vinculados";"1";"formulario_id";"bigint";"NO"
"vw_cadastros_vinculados";"2";"importacao_id";"bigint";"NO"
"vw_cadastros_vinculados";"3";"arquivo_nome";"varchar";"NO"
"vw_cadastros_vinculados";"4";"processado_em";"datetime";"NO"
"vw_cadastros_vinculados";"5";"total_abas";"int";"YES"
"vw_cadastros_vinculados";"6";"aba_origem";"varchar";"NO"
"vw_cadastros_vinculados";"7";"formulario_index";"int";"NO"
"vw_cadastros_vinculados";"8";"cliente";"varchar";"YES"
"vw_cadastros_vinculados";"9";"titulo_plano";"varchar";"YES"
"vw_cadastros_vinculados";"10";"numero_acordo";"varchar";"YES"
"vw_cadastros_vinculados";"11";"periodo_original";"varchar";"YES"
"vw_cadastros_vinculados";"12";"periodo_inicio";"varchar";"YES"
"vw_cadastros_vinculados";"13";"periodo_fim";"varchar";"YES"
"vw_cadastros_vinculados";"14";"periodo_normalizado";"varchar";"YES"
"vw_cadastros_vinculados";"15";"periodo_status";"varchar";"YES"
"vw_cadastros_vinculados";"16";"periodo_acoes_original";"varchar";"YES"
"vw_cadastros_vinculados";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_cadastros_vinculados";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_cadastros_vinculados";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_cadastros_vinculados";"20";"periodo_acoes_status";"varchar";"YES"
"vw_cadastros_vinculados";"21";"cadastro_vinculado_id";"bigint";"NO"
"vw_cadastros_vinculados";"22";"bloco_origem";"varchar";"NO"
"vw_cadastros_vinculados";"23";"linha_ordem";"int";"YES"
"vw_cadastros_vinculados";"24";"secao_interna";"varchar";"YES"
"vw_cadastros_vinculados";"25";"categoria_secao";"varchar";"YES"
"vw_cadastros_vinculados";"26";"produto";"varchar";"YES"
"vw_cadastros_vinculados";"27";"litragem";"varchar";"YES"
"vw_cadastros_vinculados";"28";"versao";"varchar";"YES"
"vw_cadastros_vinculados";"29";"abrangencia";"varchar";"YES"
"vw_cadastros_vinculados";"30";"row_excel";"int";"YES"
"vw_cadastros_vinculados";"31";"linha_original";"text";"YES"
"vw_contrapartidas";"1";"formulario_id";"bigint";"NO"
"vw_contrapartidas";"2";"importacao_id";"bigint";"NO"
"vw_contrapartidas";"3";"arquivo_nome";"varchar";"NO"
"vw_contrapartidas";"4";"processado_em";"datetime";"NO"
"vw_contrapartidas";"5";"total_abas";"int";"YES"
"vw_contrapartidas";"6";"aba_origem";"varchar";"NO"
"vw_contrapartidas";"7";"formulario_index";"int";"NO"
"vw_contrapartidas";"8";"cliente";"varchar";"YES"
"vw_contrapartidas";"9";"titulo_plano";"varchar";"YES"
"vw_contrapartidas";"10";"numero_acordo";"varchar";"YES"
"vw_contrapartidas";"11";"periodo_original";"varchar";"YES"
"vw_contrapartidas";"12";"periodo_inicio";"varchar";"YES"
"vw_contrapartidas";"13";"periodo_fim";"varchar";"YES"
"vw_contrapartidas";"14";"periodo_normalizado";"varchar";"YES"
"vw_contrapartidas";"15";"periodo_status";"varchar";"YES"
"vw_contrapartidas";"16";"periodo_acoes_original";"varchar";"YES"
"vw_contrapartidas";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_contrapartidas";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_contrapartidas";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_contrapartidas";"20";"periodo_acoes_status";"varchar";"YES"
"vw_contrapartidas";"21";"contrapartida_id";"bigint";"NO"
"vw_contrapartidas";"22";"bloco_origem";"varchar";"NO"
"vw_contrapartidas";"23";"linha_ordem";"int";"YES"
"vw_contrapartidas";"24";"quantidade";"varchar";"YES"
"vw_contrapartidas";"25";"quantidade_numerica";"decimal";"YES"
"vw_contrapartidas";"26";"tipo_acao";"varchar";"YES"
"vw_contrapartidas";"27";"periodo";"varchar";"YES"
"vw_contrapartidas";"28";"lojas";"varchar";"YES"
"vw_contrapartidas";"29";"obs";"varchar";"YES"
"vw_contrapartidas";"30";"row_excel";"int";"YES"
"vw_contrapartidas";"31";"linha_original";"text";"YES"
"vw_contrapartidas_itens_foco";"1";"formulario_id";"bigint";"NO"
"vw_contrapartidas_itens_foco";"2";"importacao_id";"bigint";"NO"
"vw_contrapartidas_itens_foco";"3";"arquivo_nome";"varchar";"NO"
"vw_contrapartidas_itens_foco";"4";"processado_em";"datetime";"NO"
"vw_contrapartidas_itens_foco";"5";"total_abas";"int";"YES"
"vw_contrapartidas_itens_foco";"6";"aba_origem";"varchar";"NO"
"vw_contrapartidas_itens_foco";"7";"formulario_index";"int";"NO"
"vw_contrapartidas_itens_foco";"8";"cliente";"varchar";"YES"
"vw_contrapartidas_itens_foco";"9";"titulo_plano";"varchar";"YES"
"vw_contrapartidas_itens_foco";"10";"numero_acordo";"varchar";"YES"
"vw_contrapartidas_itens_foco";"11";"periodo_original";"varchar";"YES"
"vw_contrapartidas_itens_foco";"12";"periodo_inicio";"varchar";"YES"
"vw_contrapartidas_itens_foco";"13";"periodo_fim";"varchar";"YES"
"vw_contrapartidas_itens_foco";"14";"periodo_normalizado";"varchar";"YES"
"vw_contrapartidas_itens_foco";"15";"periodo_status";"varchar";"YES"
"vw_contrapartidas_itens_foco";"16";"periodo_acoes_original";"varchar";"YES"
"vw_contrapartidas_itens_foco";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_contrapartidas_itens_foco";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_contrapartidas_itens_foco";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_contrapartidas_itens_foco";"20";"periodo_acoes_status";"varchar";"YES"
"vw_contrapartidas_itens_foco";"21";"contrapartida_item_foco_id";"bigint";"NO"
"vw_contrapartidas_itens_foco";"22";"linha_ordem";"int";"YES"
"vw_contrapartidas_itens_foco";"23";"produto";"varchar";"YES"
"vw_contrapartidas_itens_foco";"24";"volume_mensal";"varchar";"YES"
"vw_contrapartidas_itens_foco";"25";"volume_periodo";"varchar";"YES"
"vw_contrapartidas_itens_foco";"26";"volume_mensal_numerica";"decimal";"YES"
"vw_contrapartidas_itens_foco";"27";"volume_periodo_numerica";"decimal";"YES"
"vw_contrapartidas_itens_foco";"28";"unidade";"varchar";"YES"
"vw_contrapartidas_itens_foco";"29";"row_excel";"int";"YES"
"vw_contrapartidas_itens_foco";"30";"linha_original";"text";"YES"
"vw_contrapartidas_mensais";"1";"formulario_id";"bigint";"NO"
"vw_contrapartidas_mensais";"2";"importacao_id";"bigint";"NO"
"vw_contrapartidas_mensais";"3";"arquivo_nome";"varchar";"NO"
"vw_contrapartidas_mensais";"4";"processado_em";"datetime";"NO"
"vw_contrapartidas_mensais";"5";"total_abas";"int";"YES"
"vw_contrapartidas_mensais";"6";"aba_origem";"varchar";"NO"
"vw_contrapartidas_mensais";"7";"formulario_index";"int";"NO"
"vw_contrapartidas_mensais";"8";"cliente";"varchar";"YES"
"vw_contrapartidas_mensais";"9";"titulo_plano";"varchar";"YES"
"vw_contrapartidas_mensais";"10";"numero_acordo";"varchar";"YES"
"vw_contrapartidas_mensais";"11";"periodo_original";"varchar";"YES"
"vw_contrapartidas_mensais";"12";"periodo_inicio";"varchar";"YES"
"vw_contrapartidas_mensais";"13";"periodo_fim";"varchar";"YES"
"vw_contrapartidas_mensais";"14";"periodo_normalizado";"varchar";"YES"
"vw_contrapartidas_mensais";"15";"periodo_status";"varchar";"YES"
"vw_contrapartidas_mensais";"16";"periodo_acoes_original";"varchar";"YES"
"vw_contrapartidas_mensais";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_contrapartidas_mensais";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_contrapartidas_mensais";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_contrapartidas_mensais";"20";"periodo_acoes_status";"varchar";"YES"
"vw_contrapartidas_mensais";"21";"contrapartida_mensal_id";"bigint";"NO"
"vw_contrapartidas_mensais";"22";"bloco_origem";"varchar";"NO"
"vw_contrapartidas_mensais";"23";"linha_ordem";"int";"YES"
"vw_contrapartidas_mensais";"24";"mes";"varchar";"YES"
"vw_contrapartidas_mensais";"25";"mes_numero";"int";"YES"
"vw_contrapartidas_mensais";"26";"produto";"varchar";"YES"
"vw_contrapartidas_mensais";"27";"row_excel";"int";"YES"
"vw_contrapartidas_mensais";"28";"linha_original";"text";"YES"
"vw_descricao_investimento";"1";"formulario_id";"bigint";"NO"
"vw_descricao_investimento";"2";"importacao_id";"bigint";"NO"
"vw_descricao_investimento";"3";"arquivo_nome";"varchar";"NO"
"vw_descricao_investimento";"4";"processado_em";"datetime";"NO"
"vw_descricao_investimento";"5";"total_abas";"int";"YES"
"vw_descricao_investimento";"6";"aba_origem";"varchar";"NO"
"vw_descricao_investimento";"7";"formulario_index";"int";"NO"
"vw_descricao_investimento";"8";"cliente";"varchar";"YES"
"vw_descricao_investimento";"9";"titulo_plano";"varchar";"YES"
"vw_descricao_investimento";"10";"numero_acordo";"varchar";"YES"
"vw_descricao_investimento";"11";"periodo_original";"varchar";"YES"
"vw_descricao_investimento";"12";"periodo_inicio";"varchar";"YES"
"vw_descricao_investimento";"13";"periodo_fim";"varchar";"YES"
"vw_descricao_investimento";"14";"periodo_normalizado";"varchar";"YES"
"vw_descricao_investimento";"15";"periodo_status";"varchar";"YES"
"vw_descricao_investimento";"16";"periodo_acoes_original";"varchar";"YES"
"vw_descricao_investimento";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_descricao_investimento";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_descricao_investimento";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_descricao_investimento";"20";"periodo_acoes_status";"varchar";"YES"
"vw_descricao_investimento";"21";"descricao_investimento_id";"bigint";"NO"
"vw_descricao_investimento";"22";"linha_ordem";"int";"YES"
"vw_descricao_investimento";"23";"tipo_registro";"varchar";"YES"
"vw_descricao_investimento";"24";"descricao";"varchar";"YES"
"vw_descricao_investimento";"25";"valor_original";"varchar";"YES"
"vw_descricao_investimento";"26";"valor_numerico";"decimal";"YES"
"vw_descricao_investimento";"27";"unidade";"varchar";"YES"
"vw_descricao_investimento";"28";"observacao";"text";"YES"
"vw_descricao_investimento";"29";"lado_layout";"varchar";"YES"
"vw_descricao_investimento";"30";"row_excel";"int";"YES"
"vw_descricao_investimento";"31";"linha_original";"text";"YES"
"vw_formularios";"1";"formulario_id";"bigint";"NO"
"vw_formularios";"2";"importacao_id";"bigint";"NO"
"vw_formularios";"3";"arquivo_nome";"varchar";"NO"
"vw_formularios";"4";"processado_em";"datetime";"NO"
"vw_formularios";"5";"total_abas";"int";"YES"
"vw_formularios";"6";"aba_origem";"varchar";"NO"
"vw_formularios";"7";"formulario_index";"int";"NO"
"vw_formularios";"8";"cliente";"varchar";"YES"
"vw_formularios";"9";"titulo_plano";"varchar";"YES"
"vw_formularios";"10";"numero_acordo";"varchar";"YES"
"vw_formularios";"11";"periodo_original";"varchar";"YES"
"vw_formularios";"12";"periodo_inicio";"varchar";"YES"
"vw_formularios";"13";"periodo_fim";"varchar";"YES"
"vw_formularios";"14";"periodo_normalizado";"varchar";"YES"
"vw_formularios";"15";"periodo_status";"varchar";"YES"
"vw_formularios";"16";"periodo_acoes_original";"varchar";"YES"
"vw_formularios";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_formularios";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_formularios";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_formularios";"20";"periodo_acoes_status";"varchar";"YES"
"vw_historico";"1";"formulario_id";"bigint";"NO"
"vw_historico";"2";"importacao_id";"bigint";"NO"
"vw_historico";"3";"arquivo_nome";"varchar";"NO"
"vw_historico";"4";"processado_em";"datetime";"NO"
"vw_historico";"5";"total_abas";"int";"YES"
"vw_historico";"6";"aba_origem";"varchar";"NO"
"vw_historico";"7";"formulario_index";"int";"NO"
"vw_historico";"8";"cliente";"varchar";"YES"
"vw_historico";"9";"titulo_plano";"varchar";"YES"
"vw_historico";"10";"numero_acordo";"varchar";"YES"
"vw_historico";"11";"periodo_original";"varchar";"YES"
"vw_historico";"12";"periodo_inicio";"varchar";"YES"
"vw_historico";"13";"periodo_fim";"varchar";"YES"
"vw_historico";"14";"periodo_normalizado";"varchar";"YES"
"vw_historico";"15";"periodo_status";"varchar";"YES"
"vw_historico";"16";"periodo_acoes_original";"varchar";"YES"
"vw_historico";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_historico";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_historico";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_historico";"20";"periodo_acoes_status";"varchar";"YES"
"vw_historico";"21";"historico_id";"bigint";"NO"
"vw_historico";"22";"linha_ordem";"int";"YES"
"vw_historico";"23";"tipo_registro";"varchar";"YES"
"vw_historico";"24";"ano_bloco";"int";"YES"
"vw_historico";"25";"descricao";"varchar";"YES"
"vw_historico";"26";"valor_original";"varchar";"YES"
"vw_historico";"27";"valor_numerico";"decimal";"YES"
"vw_historico";"28";"unidade";"varchar";"YES"
"vw_historico";"29";"row_excel";"int";"YES"
"vw_historico";"30";"linha_original";"text";"YES"
"vw_investimentos_extras";"1";"formulario_id";"bigint";"NO"
"vw_investimentos_extras";"2";"importacao_id";"bigint";"NO"
"vw_investimentos_extras";"3";"arquivo_nome";"varchar";"NO"
"vw_investimentos_extras";"4";"processado_em";"datetime";"NO"
"vw_investimentos_extras";"5";"total_abas";"int";"YES"
"vw_investimentos_extras";"6";"aba_origem";"varchar";"NO"
"vw_investimentos_extras";"7";"formulario_index";"int";"NO"
"vw_investimentos_extras";"8";"cliente";"varchar";"YES"
"vw_investimentos_extras";"9";"titulo_plano";"varchar";"YES"
"vw_investimentos_extras";"10";"numero_acordo";"varchar";"YES"
"vw_investimentos_extras";"11";"periodo_original";"varchar";"YES"
"vw_investimentos_extras";"12";"periodo_inicio";"varchar";"YES"
"vw_investimentos_extras";"13";"periodo_fim";"varchar";"YES"
"vw_investimentos_extras";"14";"periodo_normalizado";"varchar";"YES"
"vw_investimentos_extras";"15";"periodo_status";"varchar";"YES"
"vw_investimentos_extras";"16";"periodo_acoes_original";"varchar";"YES"
"vw_investimentos_extras";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_investimentos_extras";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_investimentos_extras";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_investimentos_extras";"20";"periodo_acoes_status";"varchar";"YES"
"vw_investimentos_extras";"21";"investimento_extra_id";"bigint";"NO"
"vw_investimentos_extras";"22";"linha_ordem";"int";"YES"
"vw_investimentos_extras";"23";"descricao";"varchar";"YES"
"vw_investimentos_extras";"24";"valor_original";"text";"YES"
"vw_investimentos_extras";"25";"valor_numerico";"decimal";"YES"
"vw_investimentos_extras";"26";"unidade";"varchar";"YES"
"vw_investimentos_extras";"27";"row_excel";"int";"YES"
"vw_investimentos_extras";"28";"linha_original";"text";"YES"
"vw_objetivos";"1";"formulario_id";"bigint";"NO"
"vw_objetivos";"2";"importacao_id";"bigint";"NO"
"vw_objetivos";"3";"arquivo_nome";"varchar";"NO"
"vw_objetivos";"4";"processado_em";"datetime";"NO"
"vw_objetivos";"5";"total_abas";"int";"YES"
"vw_objetivos";"6";"aba_origem";"varchar";"NO"
"vw_objetivos";"7";"formulario_index";"int";"NO"
"vw_objetivos";"8";"cliente";"varchar";"YES"
"vw_objetivos";"9";"titulo_plano";"varchar";"YES"
"vw_objetivos";"10";"numero_acordo";"varchar";"YES"
"vw_objetivos";"11";"periodo_original";"varchar";"YES"
"vw_objetivos";"12";"periodo_inicio";"varchar";"YES"
"vw_objetivos";"13";"periodo_fim";"varchar";"YES"
"vw_objetivos";"14";"periodo_normalizado";"varchar";"YES"
"vw_objetivos";"15";"periodo_status";"varchar";"YES"
"vw_objetivos";"16";"periodo_acoes_original";"varchar";"YES"
"vw_objetivos";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_objetivos";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_objetivos";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_objetivos";"20";"periodo_acoes_status";"varchar";"YES"
"vw_objetivos";"21";"objetivo_id";"bigint";"NO"
"vw_objetivos";"22";"linha_ordem";"int";"YES"
"vw_objetivos";"23";"tipo_registro";"varchar";"YES"
"vw_objetivos";"24";"ano_bloco";"int";"YES"
"vw_objetivos";"25";"descricao";"varchar";"YES"
"vw_objetivos";"26";"valor_original";"varchar";"YES"
"vw_objetivos";"27";"valor_numerico";"decimal";"YES"
"vw_objetivos";"28";"unidade";"varchar";"YES"
"vw_objetivos";"29";"gatilho_anual";"varchar";"YES"
"vw_objetivos";"30";"faturamento";"varchar";"YES"
"vw_objetivos";"31";"lava_roupas_liquido";"varchar";"YES"
"vw_objetivos";"32";"amaciante_concentrado";"varchar";"YES"
"vw_objetivos";"33";"observacao";"text";"YES"
"vw_objetivos";"34";"lado_layout";"varchar";"YES"
"vw_objetivos";"35";"row_excel";"int";"YES"
"vw_objetivos";"36";"linha_original";"text";"YES"
"vw_objetivo_compra";"1";"formulario_id";"bigint";"NO"
"vw_objetivo_compra";"2";"importacao_id";"bigint";"NO"
"vw_objetivo_compra";"3";"arquivo_nome";"varchar";"NO"
"vw_objetivo_compra";"4";"processado_em";"datetime";"NO"
"vw_objetivo_compra";"5";"total_abas";"int";"YES"
"vw_objetivo_compra";"6";"aba_origem";"varchar";"NO"
"vw_objetivo_compra";"7";"formulario_index";"int";"NO"
"vw_objetivo_compra";"8";"cliente";"varchar";"YES"
"vw_objetivo_compra";"9";"titulo_plano";"varchar";"YES"
"vw_objetivo_compra";"10";"numero_acordo";"varchar";"YES"
"vw_objetivo_compra";"11";"periodo_original";"varchar";"YES"
"vw_objetivo_compra";"12";"periodo_inicio";"varchar";"YES"
"vw_objetivo_compra";"13";"periodo_fim";"varchar";"YES"
"vw_objetivo_compra";"14";"periodo_normalizado";"varchar";"YES"
"vw_objetivo_compra";"15";"periodo_status";"varchar";"YES"
"vw_objetivo_compra";"16";"periodo_acoes_original";"varchar";"YES"
"vw_objetivo_compra";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_objetivo_compra";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_objetivo_compra";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_objetivo_compra";"20";"periodo_acoes_status";"varchar";"YES"
"vw_objetivo_compra";"21";"objetivo_compra_id";"bigint";"NO"
"vw_objetivo_compra";"22";"linha_ordem";"int";"YES"
"vw_objetivo_compra";"23";"produto";"varchar";"YES"
"vw_objetivo_compra";"24";"embalagem";"varchar";"YES"
"vw_objetivo_compra";"25";"objetivo_trimestral";"varchar";"YES"
"vw_objetivo_compra";"26";"objetivo_trimestral_numerico";"decimal";"YES"
"vw_objetivo_compra";"27";"row_excel";"int";"YES"
"vw_objetivo_compra";"28";"linha_original";"text";"YES"
"vw_premissas_gerais";"1";"formulario_id";"bigint";"NO"
"vw_premissas_gerais";"2";"importacao_id";"bigint";"NO"
"vw_premissas_gerais";"3";"arquivo_nome";"varchar";"NO"
"vw_premissas_gerais";"4";"processado_em";"datetime";"NO"
"vw_premissas_gerais";"5";"total_abas";"int";"YES"
"vw_premissas_gerais";"6";"aba_origem";"varchar";"NO"
"vw_premissas_gerais";"7";"formulario_index";"int";"NO"
"vw_premissas_gerais";"8";"cliente";"varchar";"YES"
"vw_premissas_gerais";"9";"titulo_plano";"varchar";"YES"
"vw_premissas_gerais";"10";"numero_acordo";"varchar";"YES"
"vw_premissas_gerais";"11";"periodo_original";"varchar";"YES"
"vw_premissas_gerais";"12";"periodo_inicio";"varchar";"YES"
"vw_premissas_gerais";"13";"periodo_fim";"varchar";"YES"
"vw_premissas_gerais";"14";"periodo_normalizado";"varchar";"YES"
"vw_premissas_gerais";"15";"periodo_status";"varchar";"YES"
"vw_premissas_gerais";"16";"periodo_acoes_original";"varchar";"YES"
"vw_premissas_gerais";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_premissas_gerais";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_premissas_gerais";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_premissas_gerais";"20";"periodo_acoes_status";"varchar";"YES"
"vw_premissas_gerais";"21";"premissa_id";"bigint";"NO"
"vw_premissas_gerais";"22";"linha_ordem";"int";"YES"
"vw_premissas_gerais";"23";"descricao";"text";"YES"
"vw_premissas_gerais";"24";"valor_original";"text";"YES"
"vw_premissas_gerais";"25";"row_excel";"int";"YES"
"vw_premissas_gerais";"26";"linha_original";"text";"YES"
"vw_stok_objetivo_compra";"1";"formulario_id";"bigint";"NO"
"vw_stok_objetivo_compra";"2";"importacao_id";"bigint";"NO"
"vw_stok_objetivo_compra";"3";"arquivo_nome";"varchar";"NO"
"vw_stok_objetivo_compra";"4";"processado_em";"datetime";"NO"
"vw_stok_objetivo_compra";"5";"total_abas";"int";"YES"
"vw_stok_objetivo_compra";"6";"aba_origem";"varchar";"NO"
"vw_stok_objetivo_compra";"7";"formulario_index";"int";"NO"
"vw_stok_objetivo_compra";"8";"cliente";"varchar";"YES"
"vw_stok_objetivo_compra";"9";"titulo_plano";"varchar";"YES"
"vw_stok_objetivo_compra";"10";"numero_acordo";"varchar";"YES"
"vw_stok_objetivo_compra";"11";"periodo_original";"varchar";"YES"
"vw_stok_objetivo_compra";"12";"periodo_inicio";"varchar";"YES"
"vw_stok_objetivo_compra";"13";"periodo_fim";"varchar";"YES"
"vw_stok_objetivo_compra";"14";"periodo_normalizado";"varchar";"YES"
"vw_stok_objetivo_compra";"15";"periodo_status";"varchar";"YES"
"vw_stok_objetivo_compra";"16";"periodo_acoes_original";"varchar";"YES"
"vw_stok_objetivo_compra";"17";"periodo_acoes_inicio";"varchar";"YES"
"vw_stok_objetivo_compra";"18";"periodo_acoes_fim";"varchar";"YES"
"vw_stok_objetivo_compra";"19";"periodo_acoes_normalizado";"varchar";"YES"
"vw_stok_objetivo_compra";"20";"periodo_acoes_status";"varchar";"YES"
"vw_stok_objetivo_compra";"21";"stok_objetivo_compra_id";"bigint";"NO"
"vw_stok_objetivo_compra";"22";"linha_ordem";"int";"YES"
"vw_stok_objetivo_compra";"23";"produto";"varchar";"YES"
"vw_stok_objetivo_compra";"24";"embalagem";"varchar";"YES"
"vw_stok_objetivo_compra";"25";"janeiro_junho";"varchar";"YES"
"vw_stok_objetivo_compra";"26";"julho_dezembro";"varchar";"YES"
"vw_stok_objetivo_compra";"27";"periodo";"varchar";"YES"
"vw_stok_objetivo_compra";"28";"atingimento";"varchar";"YES"
"vw_stok_objetivo_compra";"29";"investimento_percentual";"varchar";"YES"
"vw_stok_objetivo_compra";"30";"investimento_percentual_numerico";"decimal";"YES"
"vw_stok_objetivo_compra";"31";"row_excel";"int";"YES"
"vw_stok_objetivo_compra";"32";"linha_original";"text";"YES"
