"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"2";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"COMERCIAL SERRA";"1";"COMERCIAL SERRA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"3";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"RAGAN";"1";"RAGAN";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"4";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MASTER";"1";"MASTER ATS";"PLANO DE NEGÓCIOS";"NULL";"MARÇO À DEZEMBRO/26";"2026-03";"2026-12";"2026-03 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"5";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"1";"ITALO SUPERMERCADOS";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"6";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ITALO";"2";"ITALO SUPERMERCADOS LTDA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"7";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IRMAOS ZAT";"1";"IRMÃOS ZAT LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"8";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GRANDESUL";"1";"GRANDESUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"9";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TISCHLER";"1";"TISCHLER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"10";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE VIVO";"1";"REDE VIVO";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO/25 À FEVEREIRO/26";"2025-09";"2026-02";"2025-09 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"11";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MUNDIALMIX";"1";"MUNDIALMIX - BRASIL/IMPERATRIZ";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"12";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"UNIDASUL";"1";"UNIDASUL";"PLANO DE NEGÓCIOS";"NULL";"SETEMBRO À DEZEMBRO";"NULL";"NULL";"SETEMBRO À DEZEMBRO";"nao_interpretado";"NULL";"NULL";"NULL";"NULL";"NULL"
"13";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"SDB COM";"1";"SDB COM. - FORT ATACADISTA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À MARÇO/26";"2026-01";"2026-03";"2026-01 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"14";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"CENTERMASTERSUL";"1";"CENTERMASTERSUL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"15";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MYATA";"1";"SUPERMERCADO MYATA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO A DEZEMBRO/2026";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"16";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"PASSARELA CENTER";"1";"PASSARELA CENTER";"JBP";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"17";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUANABARA";"1";"GUANABARA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"18";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TRINDADE";"1";"TRINDADE E SEHN LTDA";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"19";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STR";"1";"SINDICATO DOS TRABALHADORES RURAIS DE LAJEADO (STR)";"PLANO DE NEGÓCIOS";"NULL";"JULHO/25 À JUNHO/26";"2025-07";"2026-06";"2025-07 a 2026-06";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"20";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GUARAPARI";"1";"GUARAPARI";"PLANO DE INTRODUÇÃO";"NULL";"OUTUBRO/25 À MARÇO/26";"2025-10";"2026-03";"2025-10 a 2026-03";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"21";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"ROXO";"1";"ROXO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"22";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"TREICHEL";"1";"TREICHEL";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"23";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"JEPSEN";"1";"JEPSEN";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"24";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"REDE AMMA";"1";"REDE AMMA";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"25";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"BONATO";"1";"L C BONATO";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"26";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOCK-ARCHER";"1";"STOCK/ARCHER";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À DEZEMBRO/26";"2026-01";"2026-12";"2026-01 a 2026-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"27";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"MAXFORT";"1";"MAXFORT ATACADO";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"28";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"GIASSI";"1";"GIASSI";"PLANO DE NEGÓCIOS";"NULL";"JANEIRO À JUNHO/26";"2026-01";"2026-06";"2026-01 a 2026-06";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"29";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IMPERIAL";"1";"IMPERIAL SUPERMERCADOS";"PLANO DE NEGÓCIOS";"NULL";"JULHO/25 À DEZ/26";"NULL";"NULL";"JULHO/25 À DEZ/26";"nao_interpretado";"NULL";"NULL";"NULL";"NULL";"NULL"
"30";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"NICOLINI";"1";"OSMAR NICOLINI";"PLANO DE NEGÓCIOS";"NULL";"MARÇO/25 A FEVEREIRO/26";"2025-03";"2026-02";"2025-03 a 2026-02";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL"
"31";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"IMEC-DESCO";"1";"IMEC/DESCO";"JBP";"NULL";"FEVEREIRO À DEZEMBRO/26";"2026-02";"2026-12";"2026-02 a 2026-12";"normalizado";"MARÇO/26 À JANEIRO/27";"2026-03";"2027-01";"2026-03 a 2027-01";"normalizado"
"32";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"DIAS E KRIEGER ( POPULAR)";"1";"DIAS E KRIEGER ( POPULAR)";"PLANO DE INTRODUÇÃO";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
