"formulario_id";"importacao_id";"arquivo_nome";"processado_em";"total_abas";"aba_origem";"formulario_index";"cliente";"titulo_plano";"numero_acordo";"periodo_original";"periodo_inicio";"periodo_fim";"periodo_normalizado";"periodo_status";"periodo_acoes_original";"periodo_acoes_inicio";"periodo_acoes_fim";"periodo_acoes_normalizado";"periodo_acoes_status";"stok_objetivo_compra_id";"linha_ordem";"produto";"embalagem";"janeiro_junho";"julho_dezembro";"periodo";"atingimento";"investimento_percentual";"investimento_percentual_numerico";"row_excel";"linha_original"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"1";"1";"NULL";"NULL";"NULL";"NULL";"TRIMESTRE 1";"CRESCIMENTO ENTRE 15,01% E 25%";"0,5%";"NULL";"112";"Objetivo trimestral | Objetivo trimestral | TRIMESTRE 1 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"2";"2";"LAVA ROUPAS";"2 LITROS";"NULL";"NULL";"TRIMESTRE 1";"CRESCIMENTO ACIMA 25,01%";"1,0%";"NULL";"113";"LAVA ROUPAS | 2 LITROS | 7500 | 9000 | TRIMESTRE 1 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"3";"3";"LAVA ROUPAS";"3 LITROS";"NULL";"NULL";"TRIMESTRE 2";"CRESCIMENTO ENTRE 15,01% E 25%";"0,5%";"NULL";"114";"LAVA ROUPAS | 3 LITROS | 18000 | 21000 | TRIMESTRE 2 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"4";"4";"LAVA ROUPAS";"5 LITROS";"NULL";"NULL";"TRIMESTRE 2";"CRESCIMENTO ACIMA 25,01%";"1,0%";"NULL";"115";"LAVA ROUPAS | 5 LITROS | 15000 | 16500 | + | TRIMESTRE 2 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"5";"5";"AMAC. CONCENTRADO";"1,5 LITRO";"NULL";"NULL";"TRIMESTRE 3";"CRESCIMENTO ENTRE 15,01% E 25%";"0,5%";"NULL";"116";"AMAC. CONCENTRADO | 1,5 LITRO | 6000 | 7500 | TRIMESTRE 3 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"6";"6";"AMAC. CONCENTRADO";"PACK";"NULL";"NULL";"TRIMESTRE 3";"CRESCIMENTO ACIMA 25,01%";"1,0%";"NULL";"117";"AMAC. CONCENTRADO | PACK | 6000 | 7500 | TRIMESTRE 3 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"7";"7";"NULL";"NULL";"NULL";"NULL";"TRIMESTRE 4";"CRESCIMENTO ENTRE 15,01% E 25%";"0,5%";"NULL";"118";"TRIMESTRE 4 | CRESCIMENTO ENTRE 15,01% E 25% | 0,5%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"8";"8";"NULL";"NULL";"NULL";"NULL";"TRIMESTRE 4";"CRESCIMENTO ACIMA 25,01%";"1,0%";"NULL";"119";"TRIMESTRE 4 | CRESCIMENTO ACIMA 25,01% | 1,0%"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"9";"9";"JANEIRO";"NULL";"NULL";"NULL";"NULL";"JUNHO";"NULL";"NULL";"128";"JANEIRO | FEVEREIRO | MARÇO | ABRIL | MAIO | JUNHO"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"10";"10";"PRODUTO";"NULL";"NULL";"NULL";"NULL";"PRODUTO";"NULL";"NULL";"129";"PRODUTO | PRODUTO | PRODUTO | PRODUTO | PRODUTO | PRODUTO"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"11";"11";"AMAC. CONCENTRADO 1,5L";"NULL";"NULL";"NULL";"NULL";"LIMP. PERFUMADO 2L";"NULL";"NULL";"130";"AMAC. CONCENTRADO 1,5L | AMAC. CONC. PACK 30% | DESINFETANTE 5L | AMAC. CONCENTRADO 1,5L | DESINFETANTE 2L | LIMP. PERFUMADO 2L"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"12";"12";"LAVA ROUPAS 5L";"NULL";"NULL";"NULL";"NULL";"AMACIANTE 5L";"NULL";"NULL";"131";"LAVA ROUPAS 5L | LAVA ROUPAS 3L | AMACIANTE 5L | LAVA ROUPAS 5L | LAVA ROUPAS 3L | AMACIANTE 5L"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"13";"13";"JULHO";"NULL";"NULL";"NULL";"NULL";"DEZEMBRO";"NULL";"NULL";"133";"JULHO | AGOSTO | SETEMBRO | OUTUBRO | NOVEMBRO | DEZEMBRO"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"14";"14";"PRODUTO";"NULL";"NULL";"NULL";"NULL";"PRODUTO";"NULL";"NULL";"134";"PRODUTO | PRODUTO | PRODUTO | PRODUTO | PRODUTO | PRODUTO"
"1";"1";"Base JBP e acordos comerciais.xlsx";"2026-03-13 09:08:13";"31";"STOK";"1";"STOK CENTER/ZAFFARI";"JBP";"NULL";"JANEIRO/25 À DEZEMBRO/25";"2025-01";"2025-12";"2025-01 a 2025-12";"normalizado";"NULL";"NULL";"NULL";"NULL";"NULL";"15";"15";"DESINFETANTE 5L";"NULL";"NULL";"NULL";"NULL";"LAVA ROUPAS 3L";"NULL";"NULL";"135";"DESINFETANTE 5L | AMAC. CONC. 1,5L | LAVA ROUPAS 5L | AMAC. CONC. PACK 30% | AMACIANTE 5L | LAVA ROUPAS 3L"
